threshold,album,artist,song,attention_window
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,29
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,28
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,27
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,26
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,25
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,3
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,4
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,5
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,21
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,20
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,19
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,18
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,17
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,16
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,15
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,14
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,13
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,12
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,11
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,10
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,9
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,8
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,7
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,6
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,5
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,4
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,3
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,2
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,1
0.75,Abbey Road,The Beatles,You Never Give Me Your Money,0
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,7
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,6
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,5
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,16
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,3
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,1
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,19
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,4
0.75,The Dark Side of the Moon,Pink Floyd,Brain Damage,2
